"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"NT","616","Leonardo BARRERA SANTA","0","115 cc Elite","NT","","","Meta","CLUB LLANEROS RANCING",""
"NT","522-E","Bryan MORALES GARCIA","0","115 cc Elite","NT","","","Cauca","CLUB CORONA CLUB XTREME PARK",""
"NT","291","Juan David RIVERA PARRA","0","115 cc Elite","NT","","","Nariño","CLUB MOTEROS RIDERS LA UNION",""
"NT","980","Andres Felipe RUBIANO NARANJO","0","115 cc Elite","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
"NT","769","Juan Carlos BUILES MARIN","0","115 cc Elite","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","314","Andres Felipe GONZALEZ CIFUENTES","0","115 cc Elite","NT","","","Meta","SUTA RACING CLUB",""
"NT","88","Gerardo camilo TORRES","0","115 cc Elite","NT","","","Valle del Cauca","Dos Ruedas Racing Team",""
"NT","63","Daniel Esteban tejada","0","115 cc Elite","NT","","","Tolima","CLUB PISTON RACING",""
"NT","254","David Estiber Echeverria Almeida","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","312","Eder Sebastian JARAMILLO YARA","0","115 cc Elite","NT","","","Tolima","CLUB PISTON RACING",""
"NT","434","EDGAR FELIPE ARTUNDUAGA CRUZ","0","115 cc Elite","NT","","","Huila","CLUB MOTO JAPONESA",""
"NT","554","Juan Camilo ALVAREZ PANTOJA","0","115 cc Elite","NT","","","Nariño","CLUB DEPORTIVO SOLIMOTOS",""
"NT","596","Juan David PIEDRAHITA PINEDA","0","115 cc Elite","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","794","Cristian Steven BECERRA PUERTO","0","115 cc Elite","NT","","","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","311","Nicolas SANCHEZ PULGARIN","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","921","Giomar Nicolas Ruiz Burbano","0","115 cc Elite","NT","","","Nariño","MOTOCLUB CONSACA",""
"NT","988","JUAN CARLOS LOPEZ VIDAL","0","115 cc Elite","NT","","","Cauca","CLUB CORONA CLUB XTREME PARK",""
"NT","941","Diego Libany Garcia Bernal","0","115 cc Elite","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
"NT","813","Juan Felipe SIERRA OSORIO","0","115 cc Elite","NT","","","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","854","Maicol Andres CRISTANCHO VEGA","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","133","Sergio Leon RESTREPO MEJIA","0","115 cc Elite","NT","","","Antioquia","CLUB LOS PASKINES",""
"NT","786","johan daniel barajas barrios","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","342","Andres Felipe SALAZAR ZAYAS","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","681","Andres Felipe RESTREPO CASTRILLON","0","115 cc Elite","NT","","","Valle del Cauca","MOTOCLUB TRAVESURAS",""
"NT","61","Breiner Leandro Grisales Ramirez","0","115 cc Elite","NT","","","Valle del Cauca","MOTOCLUB TRAVESURAS",""
"NT","746","Juan Sebastián García agudelo","0","115 cc Elite","NT","","","Valle del Cauca","MOTOCLUB TRAVESURAS",""
"NT","375","Wilderman RAMIREZ","0","115 cc Elite","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","639","ACERCARSE A SECRETARIA","0","115 cc Elite","NT","","","","",""
